cityid,cloudiness,country,date_time,humidity,lat,lon,max_temp,name,temp,wind
1651810.0,100.0,TL,1607301923.0,87.0,-8.93,125.41,21.33,airai,21.33,0.85
2094027.0,56.0,PG,1607301923.0,66.0,-6.22,155.63,29.84,kieta,29.84,1.75
124291.0,20.0,IR,1607301923.0,93.0,33.12,46.16,4.0,mehran,4.0,1.0
2037078.0,0.0,CN,1607301923.0,88.0,49.2,119.7,-15.36,hailar,-15.36,6.77
6201424.0,78.0,NZ,1607301807.0,63.0,-46.19,168.86,18.33,mataura,18.33,4.92
5866583.0,90.0,US,1607301808.0,87.0,57.79,-152.41,6.0,kodiak,6.0,8.2
3466980.0,100.0,BR,1607301924.0,83.0,-17.71,-39.25,23.92,caravelas,23.92,3.19
3419842.0,100.0,GL,1607301839.0,94.0,66.94,-53.67,-3.86,sisimiut,-3.86,6.93
1214488.0,100.0,ID,1607301796.0,81.0,4.14,96.13,25.67,meulaboh,25.67,1.21
2138555.0,0.0,NC,1607301924.0,75.0,-20.23,164.02,27.26,poum,27.26,6.71
2022572.0,31.0,RU,1607301890.0,88.0,71.97,102.5,-27.87,khatanga,-27.87,1.97
1513491.0,100.0,UZ,1607301925.0,79.0,40.43,71.72,-2.0,komsomolskiy,-2.0,3.1
4030556.0,0.0,PF,1607301925.0,79.0,-23.12,-134.97,24.87,rikitea,24.87,6.23
779622.0,0.0,NO,1607301925.0,63.0,71.0,24.66,-1.0,havoysund,-1.0,9.3
2122104.0,97.0,RU,1607301925.0,77.0,53.05,158.65,-14.0,petropavlovsk-kamchatskiy,-14.0,4.0
6186122.0,20.0,CA,1607301925.0,74.0,44.74,-81.13,-1.11,wiarton,-1.97,1.0
3833367.0,75.0,AR,1607301695.0,93.0,-54.8,-68.3,10.0,ushuaia,10.0,4.1
2206939.0,1.0,NZ,1607301926.0,63.0,-46.6,168.33,18.33,bluff,18.33,4.92
3446866.0,0.0,BR,1607301926.0,80.0,-11.85,-40.79,18.95,tapiramuta,18.95,0.51
2171099.0,59.0,AU,1607301927.0,63.0,-38.27,141.97,13.59,codrington,13.59,9.54
3372964.0,100.0,PT,1607301927.0,72.0,39.05,-27.98,15.86,lagoa,15.86,3.27
5848280.0,75.0,US,1607301927.0,65.0,22.08,-159.32,28.0,kapaa,27.05,3.6
3355672.0,0.0,NA,1607301927.0,82.0,-26.65,15.16,15.07,luderitz,15.07,6.19
964432.0,100.0,ZA,1607301798.0,89.0,-33.59,26.89,20.58,port alfred,20.58,12.12
5364271.0,93.0,US,1607301927.0,52.0,38.42,-121.42,15.0,laguna,14.37,1.6
2012956.0,100.0,RU,1607301790.0,94.0,61.28,108.01,-13.26,yerbogachen,-13.26,4.09
1507390.0,50.0,RU,1607301928.0,93.0,73.51,80.55,-20.57,dikson,-20.57,4.77
5855927.0,1.0,US,1607301689.0,58.0,19.73,-155.09,29.0,hilo,25.47,5.1
1175712.0,24.0,PK,1607301928.0,79.0,25.05,61.74,23.88,jiwani,23.88,1.46
3883457.0,100.0,CL,1607301928.0,94.0,-37.62,-73.65,11.68,lebu,11.68,4.0
5880054.0,1.0,US,1607301661.0,70.0,71.29,-156.79,-17.0,barrow,-17.0,3.6
3874787.0,100.0,CL,1607301762.0,63.0,-53.15,-70.92,16.0,punta arenas,16.0,9.8
1254046.0,0.0,IN,1607301882.0,80.0,25.52,90.22,15.8,tura,15.8,1.14
4032243.0,75.0,TO,1607301929.0,83.0,-21.2,-175.2,28.0,vaini,28.0,5.7
750468.0,5.0,TR,1607301929.0,81.0,41.47,34.77,4.61,boyabat,4.61,0.61
1634614.0,58.0,ID,1607301930.0,68.0,-3.37,135.48,29.78,nabire,29.78,0.75
352628.0,5.0,EG,1607301930.0,33.0,28.42,30.78,15.55,matay,15.55,4.02
6170031.0,40.0,CA,1607301806.0,84.0,69.45,-133.04,-18.0,tuktoyaktuk,-18.0,3.6
546105.0,0.0,RU,1607301930.0,58.0,59.7,30.79,-1.11,nikolskoye,-1.76,4.0
1623197.0,78.0,ID,1607301904.0,65.0,-5.67,132.75,29.67,tual,29.67,0.54
3652764.0,72.0,EC,1607301931.0,91.0,-0.74,-90.35,22.22,puerto ayora,22.22,0.89
3466704.0,100.0,BR,1607301931.0,97.0,-24.79,-50.01,15.42,castro,15.42,3.71
2527087.0,0.0,MA,1607301931.0,62.0,29.58,-9.5,11.17,tiznit,11.17,1.37
2075265.0,0.0,AU,1607301931.0,66.0,-33.65,115.33,18.33,busselton,17.73,2.68
2177671.0,100.0,AU,1607301932.0,49.0,-30.52,151.65,18.89,armidale,18.89,1.79
3418910.0,100.0,GL,1607301932.0,97.0,72.79,-56.15,-6.57,upernavik,-6.57,1.91
2063042.0,27.0,AU,1607301932.0,62.0,-20.32,118.57,32.0,port hedland,32.0,6.7
5122534.0,90.0,US,1607301655.0,85.0,42.1,-79.24,-2.22,jamestown,-3.08,2.6
2094342.0,2.0,PG,1607301933.0,67.0,-2.57,150.8,29.72,kavieng,29.72,4.94
2074865.0,0.0,AU,1607301832.0,26.0,-24.87,113.63,29.0,carnarvon,29.0,6.2
964420.0,90.0,ZA,1607301933.0,93.0,-33.92,25.57,19.0,port elizabeth,19.0,6.2
3424607.0,99.0,GL,1607301850.0,58.0,65.61,-37.64,-2.0,tasiilaq,-2.0,6.7
529387.0,0.0,RU,1607301933.0,86.0,57.31,32.08,-2.6,marevo,-2.6,4.82
2332079.0,8.0,NG,1607301933.0,34.0,10.39,8.57,19.23,lere,19.23,0.95
2163355.0,75.0,AU,1607301934.0,47.0,-42.88,147.33,14.0,hobart,13.01,5.7
1502073.0,100.0,RU,1607301934.0,97.0,65.7,82.47,-9.02,krasnoselkup,-9.02,6.0
172515.0,0.0,SY,1607301934.0,77.0,35.3,37.18,10.22,abu samrah,10.22,1.34
6089245.0,75.0,CA,1607301934.0,91.0,65.28,-126.83,-18.0,norman wells,-18.0,1.0
4013679.0,90.0,MX,1607301934.0,83.0,18.73,-103.68,22.0,coahuayana,22.0,4.1
3985710.0,5.0,MX,1607301935.0,43.0,22.89,-109.91,23.0,cabo san lucas,23.0,5.1
2172880.0,100.0,AU,1607301935.0,65.0,-28.65,153.62,28.0,byron bay,28.0,3.1
686090.0,100.0,RO,1607301935.0,13.0,46.43,26.4,-0.56,asau,-0.56,2.14
2092164.0,100.0,PG,1607301834.0,63.0,-2.02,147.27,30.22,lorengau,30.22,3.34
766332.0,90.0,PL,1607301936.0,93.0,50.26,22.42,0.56,lezajsk,0.41,10.3
3372707.0,85.0,PT,1607301936.0,64.0,38.52,-28.7,15.79,ribeira grande,15.79,1.98
3369157.0,0.0,ZA,1607301461.0,72.0,-33.93,18.42,20.0,cape town,17.52,4.1
3464262.0,4.0,BR,1607301936.0,93.0,-15.53,-40.91,18.77,encruzilhada,18.77,2.3
